Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2024;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence LEA;2;2.0;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence Sciences et technologies industrielles;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;Licence Philosophie, Epistémologie;1;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;Licence Pluri Sciences humaines et sociales;0;0.0;0
2024;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Pluri Lettres - Langues - Sciences humaines;115;86.0;9
2024;Mathématiques Spécialité,Physique-Chimie Spécialité;BTS Production;7781;4315.0;981
2024;Mathématiques Spécialité,Physique-Chimie Spécialité;BUT Production;28199;21646.0;6434
2024;Mathématiques Spécialité,Physique-Chimie Spécialité;Licence Informatique;9784;5056.0;682
2024;Mathématiques Spécialité,Physique-Chimie Spécialité;Licence Mathématiques et informatique;1065;308.0;21
2024;Mathématiques Spécialité,Sciences de la vie et de la Terre Spécialité;Licence Sciences de l univers, de la terre, de l espace;3054;1160.0;125
2024;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;BUT Production;14;11.0;4
2024;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;Licence Pluri Langues;1;0.0;0
2024;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;Licence Sciences de l univers, de la terre, de l espace;3;1.0;0
2024;Physique-Chimie Spécialité,Sciences Economiques et Sociales Spécialité;BUT Production;134;73.0;33
2024;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Pluri Sciences;2;0.0;0
2024;Physique-Chimie Spécialité,Sciences de la vie et de la Terre Spécialité;Licence STAPS;8840;5033.0;1765
2024;Sciences Economiques et Sociales Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de gestion;4943;2176.0;602
2024;Sciences Economiques et Sociales Spécialité,Langues, littératures et cultures étrangères et régionales;Licence LEA;7764;6518.0;2332
2024;Sciences Economiques et Sociales Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l univers, de la terre, de l espace;30;4.0;1
2024;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence Pluri Lettres - Sciences du langage - Arts;2;2.0;1
2024;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Sciences de l éducation;1;0.0;0
2024;Sciences de l'ingénieur et sciences physiques,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
2024;Sciences de l'ingénieur et sciences physiques,Humanités, Littérature et Philosophie;Ecoles de Commerce;0;0.0;0
2024;Sciences de l'ingénieur et sciences physiques,Langues, littératures et cultures étrangères et régionales;CPGE ECG;0;0.0;0
2024;Sciences de l'ingénieur et sciences physiques,Éducation physique, pratiques et culture sportives;Licence Sciences juridiques;0;0.0;0
2024;Sciences de l'ingénieur et sciences physiques,Éducation physique, pratiques et culture sportives;Licence Sociologie, Démographie;1;0.0;0
2024;Sciences de l'ingénieur et sciences physiques,Éducation physique, pratiques et culture sportives;Sciences po;0;0.0;0
2024;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;CPGE L;150;107.0;40
