cpge_type,panier_name,school_name,city,department,taux_integration_pct,moyenne_bac,moyenne_multi_ans_pct,rang_multi_ans,parcoursup
ECG - Mathématiques approfondies + ESH,Panier large,Philippine-Duchesne Itec-Boisfleury,Grenoble,38,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Sainte-Marie,Lyon,69,90,,96.1,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Stanislas,Paris,75,83.3,,82.8,3e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Henri-IV,Paris,75,80,,88.9,2e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,ND-du-Grandchamp,Versailles,78,77.8,,73.1,4e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Hoche,Versailles,78,75,,69,5e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Saint-Jean,Douai,59,64.3,,58.9,8e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Champollion,Grenoble,38,60,,52.5,11e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,St-Louis-de-Gonzague,Paris,75,58.5,,60.5,6e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Chartreux,Lyon,69,56.3,,57.1,9e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Le Parc,Lyon,69,54.5,,57,10e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Intégrale,Paris,75,53.3,,,,non
ECG - Mathématiques approfondies + ESH,Top 8,Ampère,Lyon,69,52.6,,44.8,14e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Chateaubriand,Rennes,35,50,,50.7,12e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Ipesup,Paris,75,50,,,,non
ECG - Mathématiques approfondies + ESH,Top 8,Janson-de-Sailly,Paris,75,50,,60.3,7e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Pierre-de-Fermat,Toulouse,31,47.5,,41.4,18e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,St-Michel-de-Picpus,Paris,75,47.4,,44.6,15e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,ND-des-Minimes,Lyon,69,47.1,,42.1,17e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Stanislas,Cannes,06,42.9,,28.8,20e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,St-Vincent-Providence,Rennes,35,42.1,,37.3,19e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Montaigne,Bordeaux,33,38.2,,27.3,21e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Marcelin-Berthelot,St-Maur-des-Fossés,94,31.8,,25.8,23e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Carnot,Paris,75,31.1,,26.6,22e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Kléber,Strasbourg,67,24,,25,24e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Blaise-Pascal,Clermont-Ferrand,63,22.2,,14,30e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Carnot,Dijon,21,21.7,,21.1,26e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Berthollet,Annecy,74,13.6,,14.5,29e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Charles-De-Gaulle,Caen,14,13.3,,12.5,31e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Montaigne,Paris,75,13,,17.1,27e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Saint-Charles,Marseille,13,12.5,,9.1,32e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Saint-Just,Lyon,69,10,,21.8,25e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Ozenne,Toulouse,31,7.7,,14.9,28e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Faidherbe,Lille,59,7.4,,8.5,34e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Henri-Poincaré,Nancy,54,5.9,,9.1,32e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Clemenceau,Reims,51,5.3,,1.9,37e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Ste-Marie-Gd-Lebrun,Bordeaux,33,5,,3.7,36e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,Alfred-Kastler,Cergy-Pontoise,95,0,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Kerichen,Brest,29,0,,6.7,35e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,La Prépa Autrement,Paris,75,,,,,non
ECG - Mathématiques approfondies + ESH,Top 8,ND-de-Sainte-Croix,Neuilly-sur-Seine,92,,,47.9,13e/51,oui
ECG - Mathématiques approfondies + ESH,Top 8,St-Joseph-du-Loquidy,Nantes,44,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Saint-Paul,Lille,59,,,43.5,16e/51,oui
